"","title","article","dt","clicked","category"
"937","【有片】官員折損快　柯Ｐ：郝4年內走24個官","（更新：增加影片）北市府繼法務局長楊芳玲請辭後，今換成教育局長湯志民請辭，媒體今詢問台北市長柯文哲，是否有反省過為何大家都不願意跟他做事，柯表示他有去調資料，前市長郝龍斌在4年內換了24個官員，有時政務官來來去去，甚至升官，像官員有更好的發展，升官去中央，也不能攔截。媒體追問柯，是否覺得自己沒有問題，柯表示這跟離婚一樣，沒有對錯，只有適合或不適合的問題。（張博亭／台北報導）出版：15:47更新：16:02 【想知道更多，一定要看……】官員折損快　柯Ｐ：郝4年內走24個官一張表看柯市府出走首長數　已達13人台北市長柯文哲。劉耿豪攝",2016-09-25 16:02:00,1414,"生活"
"938","【有片】世大運影片抄日本樂團MV　柯P：請觀傳局處理","（更新：增加影片）台北市政府宣傳世大運的影片爆出抄襲日本樂團MV，遭網友批丟臉。台北市長柯文哲今受訪時表示，他還沒看到影片，會請觀光傳播局去處理。柯並說案子很多，突然被媒體問，他也不曉得。（張博亭／台北報導）出版：15:48更新：16:02 【想知道更多，一定要看……】【更新】北市府世大運影片　爆疑抄日本樂團台北市政府宣傳世大運影片爆出抄襲日本樂團MV。市長柯文哲今說，會請觀傳局處理。劉耿豪攝",2016-09-25 16:02:00,487,"生活"
"939","梅姬颱風逼近　農民預防性採收","（更新：新增影片）中度颱風梅姬對台灣威脅大，國內蔬菜主要產區的雲林地區，今日菜農一早就忙著做預防性採收蔬菜，林姓菜農表示，葉菜類蔬菜最怕被風颳過，強風吹襲後會呈現委凋，農民怕即將收成的蔬菜損失，做預防性採收，以免颱風來襲，無法收成損失慘重。今天適逢週日西螺果菜市場休市，未進行蔬菜交易，受到風預期心理影響，還是有許多蔬菜盤商直接到產地田間採購批發蔬菜。張姓盤商說，假日傳統市場、黃昏市場蔬菜攤商未休市，零售需求未減，加上颱風進逼，葉菜類蔬菜已經稍漲，預計明天果菜市場開市拍賣，蔬菜交易價格恐會漲更多。今日西螺果菜市場休市日，未進行場內交易，場外葉菜類蔬菜交易價每公斤小白菜32元、青江菜30元、芥藍菜 37元、油菜30元、蚵白35元、空心菜45元至60元間。（李政遠／雲林報導）出版時間：13:07更新時間：16:00 蔬菜盤商直接到產地田間採購批發蔬菜。李政遠攝農民怕即將收成的蔬菜損失，做預防性採收，以免颱風來襲，無法收成損失慘重。農民怕即將收成的蔬菜損失，做預防性採收，以免颱風來襲，無法收成損失慘重。蔬菜盤商直接到產地田間採購批發蔬菜。李政遠攝農民怕即將收成的蔬菜損失，做預防性採收，以免颱風來襲，無法收成損失慘重。",2016-09-25 16:00:00,1656,"生活"
"940","韓國女子團體EXID抵台　歌迷熱情迎接","韓國女子團體EXID今中午抵台，5名成員下機後展現相當親和力，頻對大家揮手致意。有近2百名歌迷在桃園機場二航廈入境大廳迎接，她們一走出入境大門，歌迷呼叫自己偶像名字聲此起彼落，不少人蜂擁而上要拍照，現場秩序頓時大亂，保全人員護著五人沿著牆邊慢慢走機場。（突發中心吳詠平／桃園報導）<U+00A0> EXID抵台。吳詠平攝EXID抵台。吳詠平攝歌迷在入境大廳等候。吳詠平攝現場大批歌迷迎接團員很享受。吳詠平攝被迫沿著牆邊走。吳詠平攝工作人員護著五人前進。吳詠平攝",2016-09-25 16:00:00,193,"娛樂"
"941","【有片】蕭曉玲案折損兩官？　柯P：不盡然","（更新：增加影片）台北市教育局長湯志民請辭，外傳是因日前市府同意讓中山國中前教師蕭曉玲復職，但湯與台北市長柯文哲在蕭案的見解不同。媒體今問柯，是否局處長不想與他一起肩負蕭案的政治責任？柯表示，每件事都有正反面，有時候還是要做選擇。媒體追問柯，在法制面與教育面，局長是否因都不挺柯的決定才相繼去職？柯表示也不盡然，這是好問題。媒體問柯文哲，是否堅持蕭案的決定？柯表示，轉型正義真正的目的是防止過去的錯誤在未來發生，而非要懲罰過去的加害者，所以在現行法律下，如果沒有人做錯甚麼事，這個案子（蕭案）要怎麼撤銷，所以長官要做抉擇。由於柯不追究當初打壓蕭曉玲的官員，遭蕭批評「為德不卒」，柯強調自己不贊成循環報復，如果一定要說有人做錯，此案才能平反，那他選擇自己扛起來。媒體又問柯，為了蕭曉玲案折損兩位局長，是否代價有點大，柯表示，有些事情身為市長還是要做決定，如果要純粹用法律來解決政治問題，也沒辦法解決。媒體追問，這樣是否會違反行政程序或有違法的問題？柯表示，之前為蕭案有詢問法務部，法務部回函是請北市府自行擇處。柯表示，湯志民請辭的事，明天上班日再來討論。是否有其他的局處長會離職？柯表示，到時候會作全部的檢討，再一起處理。（張博亭／台北報導）出版：15:46更新：15:59 【想知道更多，一定要看……】一張表看柯市府出走首長數　已達13人疑蕭曉玲案爭議　北市教育局局長湯志民請辭台北市長柯文哲今被問及蕭曉玲案是否折損兩位市府一級官員時說，每件事都有正反面，還是要做選擇。劉耿豪攝北市教育局長湯志民請辭，外傳是與日前北市府同意讓中山國中前教師蕭曉玲復職有關。資料照片",2016-09-25 15:59:00,881,"生活"
"942","走了莫蘭蒂梅姬又來　蕉農：倒光不擔心了","(更新:增加影片)梓官區農會供銷部表示，梓官區蔬菜產區面臨接連而來的豪雨及颱風重創，目前梓官區蔬菜集貨場到貨量僅剩約平時的一成左右，這次颱風來襲因為受損蔬菜「來不及長大」農民就算想搶收也無菜可收。供銷部說，莫蘭蒂颱風前，梓官區仍有地瓜葉、空心菜可以採收，但颱風烈日將泡水地瓜葉曬得焦黃，目前該區僅剩少數空心菜可以採收，葉菜類價格因民眾搶購預期心理，批發價格微漲一成左右。同樣也在莫蘭蒂風災中同樣受創嚴重的高雄旗山香蕉產區蕉農李致弘也趕在梅姬颱風來臨前，將蕉園內僅剩約一成的香蕉樹加強固定。李致弘無奈苦笑說，比起莫蘭蒂，「這次不擔心了」，因為莫蘭蒂颱風後蕉園受損九成「該倒的差不多都倒光了」。（劉智維／高雄報導）出版時間:15:46更新時間:15:58 旗山蕉農李致弘趕在颱風前將僅剩的香蕉樹加強固定。蕉園內遭莫蘭蒂重創的香蕉還來不及清理，梅姬又接著襲台。劉智維攝莫蘭蒂風災後，李致弘的蕉園內香蕉樹重創九成。劉智維攝",2016-09-25 15:58:00,859,"生活"
"943","民眾舉牌快閃表心聲　要南鐵地下化","（更新:增加影片）今天下午3時，台南火車站後站與青年路平交道，同步有民眾舉牌快閃支持南鐵地下化動作，前後時間15分鐘結束，連絡人劉瑋婷表示，南鐵地下化不能只聽到反對聲音，也要有支持聲音，才會有今天的快閃活動。在台南火車站後站前方斑馬線上，近10位年輕人舉著支持南鐵牌子，趁著綠燈時，以步行方式表達他們的聲音。同時在東區青年路平交道也有5名民眾，趁著柵欄放下之際，站在平交道前表達相同的訴求。參與快閃民眾表示，8月9日召開的內政部都委會中，全體委員一致同意通過行政院版本的鐵路地下化方案，鐵路地下化後，不僅市區的9處平交道將會消失，更可以有效降低平交道的交通意外事故發生機率，並解除鐵路對於台南市區都市發展的的阻礙，提供都市縫合的機會，希望藉此活動向市民傳達我們的聲音，讓鐵路地下化加速進行，促進城市的發展。（劉榮輝／台南報導）出版時間:15:47更新時間:15:56 民眾在東區青年路平交道前舉牌支持南鐵地下化。劉榮輝攝。民眾在台南火車站後站前方舉牌支持南鐵地下化。劉榮輝攝。",2016-09-25 15:56:00,732,"社會"
"944","松山機場跳電　原因不明","松山機場跳電！民航局台北國際航空站表示，松山機場第4島櫃於今天下午2時45分時跳電，原因不明，幸好馬上啟用備用電源，國際航線未受到影響，國內航線部份航線作業稍有影響，但很快恢復正常。目前松山機場作業正常。至於跳電原因，還在檢查中。（戴安瑋／台北報導）<U+00A0> 松山機場下午不明原因跳電，台北國際航空站已啟用緊急備用電源。讀者提供松山機場下午不明原因跳電，辦公室都沒電，黑漆漆，天花板上的燈光全滅。讀者提供松山機場下午不明原因跳電，連銀行都沒有電。讀者提供",2016-09-25 15:56:00,180,"生活"
"945","譏諷IS　約旦漫畫家法院外遭槍殺","約旦作家兼漫畫家哈塔（Nahed Hattar）因為在臉書發表譏諷激進組織「伊斯蘭國」（Islamic State，IS）的漫畫，上月因猥<U+4EB5>罪嫌遭到逮捕，他今天在首都安曼出庭時，在法院外遭暗殺身亡。哈塔的頭部中了3顆子彈，當場死亡，槍手也現場向安全部隊自首。約旦的《明日報》（Al-Ghad）報導指，槍手是昨天才從鄰國入境，但目前未知是哪個國家。哈塔的漫畫抵毀譏諷IS眼中的天堂，呈現聖戰士在帳蓬有女人同床相伴，且向真主要求飲酒。此漫畫一出，在社交網路引發爭議，也種下殺機。約旦目前有參與美國領軍在敘利亞與伊拉克的空襲IS行動，但也因此，今年6月21日境內邊界遭到自殺炸彈攻擊，造成7名邊界衛兵喪命。（國際中心／綜合外電報導）跟上國際脈動，請到蘋果繞著地球爆按讚<U+00A0>",2016-09-25 15:55:00,233,"國際"
"946","【獨家】36歲高圓圓懷孕　趙又廷「順其自然」","(新增：動新聞)趙又廷和中國女星高圓圓前年6月結婚，《蘋果》掌握消息，36歲高圓圓已懷孕，他回應「一切仍順其自然」，並未否認。他倆婚後頻傳有了愛的結晶，她今年1月探班時被拍到身穿寬鬆衣服，又以圍巾遮住腹部，傳出有喜，當時趙又廷透過經紀人表示：「計劃持續中。」今天是趙又廷32歲生日，小倆口和趙爸趙樹海、趙媽一家人在加拿大度假兼慶生，在生日傳出喜事，可說是最好的生日禮物，他今未否認，只以訊息表示「一切仍順其自然」。（宇若霏／台北報導）出版時間：14：27更新時間：15：54 高圓圓（左圖左起）和趙又廷結婚2年，她14日現身北京機場（右圖），準備飛加拿大和老公團聚。合成照片高圓圓14日被拍到衣著寬鬆。趙樹海（左）、趙又廷是演藝圈著名父子檔。資料照片",2016-09-25 15:54:00,54871,"娛樂"
"947","公視明選董事長　媒觀今辦董事座談","公視將於明日舉行董事會，選出新任董事長，台灣媒體觀察基金會選在今日舉辦座談，邀請邱家宜、陳郁秀、鄭自隆、張天立等新董事，暢談對公視的未來發展規劃與想法。公視新董事名單出爐後成焦點，外傳邱家宜、陳郁秀、鄭自隆3人有意角逐董事長，媒觀今舉辦座談會，邀請3人及其他新任董事出席，媒觀董事長賴鼎銘開場時強調，舉辦座談是想提供平台讓新任董事論述，並非為了明天的選舉。傳聞有意角逐董事長的邱家宜表示，公視董事長選舉是公共事務，董事要面對社會，爭取社會信賴及資源，公視不是諸多電視台中的一個，未來目標要讓公視成為影視音龍頭，善用公共資源、投資人才，台灣具文化厚度且文化多元，但現在電視內容都重複，簡單來說，就是電視內容配不上社會，接下來可以將集團的8個頻道做出區隔，讓大家看到各種文化。盛傳同樣有意角逐董事長的鄭自隆則不停強調，公視營運狀況良好，台內有許多好節目卻沒人看，原因是與民眾的喜愛有落差，電視為庶民文化，像易開罐一般好開、好用、用完就丟，公視應調整節目內容，不該只成為給特定群眾看的菁英電視，而要符合大眾喜好，也不該淪為政府的傳播工具。被視為熱門董事長人選的陳郁秀則說，希望將台灣創造成品牌，而公視就是台灣品牌的代言人，將台灣的自然環境、藝術、歷史、科技等豐富內容，呈現給國內及國際的觀眾，現代科技日新月異，應要有遠見及預測能力，才能掌握趨勢發展，修法更是當務之急，有好的政策及政府支持，才能將豐富內容順暢地對內對外傳播。（楊寧芷/台北報導）",2016-09-25 15:53:00,128,"生活"
"948","JPGA鑽石盃高球賽　台灣詹世昌逆轉奪冠","日巡鑽石盃高球賽，台灣男子職業球員詹世昌，在最後回合繳出低於標準8桿的62桿，合計低於標準10桿的280桿，逆轉拿下冠軍。這項賽事總獎金1.5億日幣(約4694萬台幣)，冠軍獨得3000萬日幣(約939萬台幣)。(陳國偉／綜合報導)【更多體育新聞訊息，請加入《蘋果運動超級吧》粉絲團】",2016-09-25 15:53:00,104,"體育"
"949","【壹週刊】佩岑速效保濕3招！老公也偷學！","【更新相關新聞】有著一個可愛兒子Ian的侯佩岑，出席Aveeno（艾惟諾）台灣上市發表的時候，有些小抱怨說：「有了兒子，保養時間都變少了～」她分享自己如何在有限時間內，讓保養發揮最好效果。「一瓶保濕力夠的乳液是必要的，」佩岑說：「無論身體或臉，只要保濕做得好，再加上簡單按摩手法，至少皮膚不會乾乾不舒服。」另外，她還分享自己最愛加強保養的小秘招，是什麼～請看片～（撰文：沈子晴　攝影：劉鴻昌）其他更多壹週刊內容請點我相關新聞地方媽媽必看！佩岑說差兩公分就差很多<U+00A0> 侯佩岑說一定要有一罐很好的保濕乳液，無論身體或臉。將燕麥經過活化萃取，保留維他命E、蛋白質等，能夠讓肌膚維持正成PH值，含有燕麥膠，溫和不刺激，能夠鎖水保濕。高效舒緩保濕乳。（圖片提供：艾惟諾）融合天然蠶絲蛋白與玻尿酸、膠原蛋白，好吸收，能夠加強肌膚潤澤。完美保濕乳液。（圖片提供：專科）保濕做得不夠，皮膚就容易黑色素沈澱，加入維他命C、E等七種亮白成分，還有薏仁萃取，魚子醬精華，能夠調整皮膚乾燥、暗沈等狀況。晶透亮白水凝凍。（圖片提供：艾杜紗）含有超過25%的乳油木果油，融合亞麻籽油、蜂蜜等，能夠改善肌膚緊繃。乳油木蠟染圖紋保濕身體霜。（圖片提供：歐舒丹）適合乾性肌膚，乳油木果油加上紫羅蘭葉萃取，觸感與味道都舒服。乳油木紫羅蘭輕柔潤膚霜。（圖片提供：歐舒丹）",2016-09-25 15:52:00,8288,"壹週刊"
